ISSN,类别,总引用频次,影响因子,分区,issn,英文全名,中文全名(机器翻译),年文章量,投稿难易度,初审周期,主页,校验,,,,
0269-2821,计算机科学-人工智能,1896,3.814,2,0269-2821,artificial intelligence review,人工智能综述,38,一般,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10462,相同,,,,
0957-4174,计算机科学-人工智能,33177,3.768,2,0957-4174,expert systems with applications,具有应用程序的专家系统,1229,命中率约50%,平均15.月,https://www.elsevier.com/journals/expert-systems-with-applications/0957-4174,相同,,,,
1069-2509,计算机科学-人工智能,587,3.667,2,1069-2509,integrated computer-aided engineering,综合计算机辅助工程,26,一般,>12周，或约稿,https://content.iospress.com/journals/integrated-computer-aided-engineering/Preprint/Preprint,相同,,,,
0956-5515,计算机科学-人工智能,3457,3.667,2,0956-5515,journal of intelligent manufacturing,智能制造杂志,284,较易,"一般,3-6周",https://www.springer.com/business+&+management/operations+research/journal/10845,相同,,,,
0167-9236,计算机科学-人工智能,8810,3.565,2,0167-9236,decision support systems,决策支持系统,121,命中率约50%,平均3月,https://www.journals.elsevier.com/decision-support-systems/,相同,,,,
1866-9956,计算机科学-人工智能,1049,3.479,2,1866-9956,Cognitive Computation,认知计算,90,,"较慢,6-12周",https://www.springer.com/biomed/neuroscience/journal/12559,相同,,,,
0884-8173,计算机科学-人工智能,2554,3.363,2,0884-8173,international journal of intelligent systems,国际智能系统杂志,64,一般,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/1098111x,相同,,,,
1474-0346,计算机科学-人工智能,2083,3.358,2,1474-0346,advanced engineering informatics,高级工程信息学,151,较难,"一般,3-8周",https://www.elsevier.com/journals/advanced-engineering-informatics/1474-0346,相同,,,,
0925-2312,计算机科学-人工智能,22735,3.241,3,0925-2312,neurocomputing,神经计算,1118,命中率约31%,平均12.月,https://www.elsevier.com/journals/neurocomputing/0925-2312,相同,,,,
0004-3702,计算机科学-人工智能,7818,3.034,3,0004-3702,artificial intelligence,人工智能,92,一般,"较慢,6-12周",https://www.elsevier.com/journals/artificial-intelligence/0004-3702,相同,,,,
2157-6904,计算机科学-人工智能,3392,2.973,3,2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,智能系统与技术交流会,82,命中率约50%,平均3月,https://tist.acm.org/,相同,,,,
1943-0604,计算机科学-人工智能,324,2.889,3,1943-0604,IEEE transactions on autonomous mental development,IEEE自主精神发展汇刊,0,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=7c5b12157&q=w,相同,,,,
0933-3657,计算机科学-人工智能,2097,2.879,3,0933-3657,artificial intelligence in medicine,医学人工智能,167,容易,"一般,3-8周",https://www.journals.elsevier.com/artificial-intelligence-in-medicine/,相同,,,,
0952-1976,计算机科学-人工智能,5555,2.819,3,0952-1976,engineering applications of artificial intelligence,人工智能的工程应用,1035,容易,"超快,1-2周",https://www.elsevier.com/journals/engineering-applications-of-artificial-intelligence/0952-1976,相同,,,,
1041-4347,计算机科学-人工智能,9373,2.775,3,1041-4347,ieee transactions on knowledge and data engineering,IEEE知识与数据工程汇刊,383,较易,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=69,相同,,,,
0169-7439,计算机科学-人工智能,7563,2.701,3,0169-7439,chemometrics and intelligent laboratory systems,化学计量学和智能实验室系统,1156,较易,"超快,1-2周",https://www.elsevier.com/journals/chemometrics-and-intelligent-laboratory-systems/0169-7439,相同,,,,
1868-8071,计算机科学-人工智能,1134,2.692,3,1868-8071,International Journal of Machine Learning and Cybernetics,国际机器学习与控制论杂志,156,命中率约50%,平均2月,https://ij-healthgeographics.biomedcentral.com/,相同,,,,
0921-8890,计算机科学-人工智能,4659,2.638,3,0921-8890,robotics and autonomous systems,机器人和自主系统,681,容易,"很快,2-3周",https://www.journals.elsevier.com/robotics-and-autonomous-systems/,相同,,,,
1662-5218,计算机科学-人工智能,353,2.606,3,1662-5218,Frontiers in Neurorobotics,神经机器人学的前沿,131,,"偏慢,4-8周",https://www.frontiersin.org/journals/neurorobotics,相同,,,,
1541-1672,计算机科学-人工智能,2638,2.596,3,1541-1672,IEEE Intelligent Systems,IEEE智能系统,121,较易,"偏慢,4-8周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9670,相同,,,,
2168-2291,计算机科学-人工智能,891,2.563,3,2168-2291,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,IEEE人机系统汇刊,104,较易,"偏慢,4-8周",http://www.ieeesmc.org/publications/transactions-on-human-machine-systems,相同,,,,
1384-5810,计算机科学-人工智能,2876,2.481,3,1384-5810,data mining and knowledge discovery,数据挖掘和知识发现,61,较易,"较慢,6-12周",https://link.springer.com/journal/10618,相同,,,,
0957-4158,计算机科学-人工智能,3857,2.423,3,0957-4158,mechatronics,机电一体化,475,容易,"较快,2-4周",https://www.journals.elsevier.com/mechatronics/,相同,,,,
1562-2479,计算机科学-人工智能,1213,2.396,3,1562-2479,INTERNATIONAL JOURNAL OF FUZZY SYSTEMS,国际模糊系统杂志,456,,"较快,2-4周",http://www.ijfs.org.tw/,相同,,,,
1077-3142,计算机科学-人工智能,5528,2.391,3,1077-3142,computer vision and image understanding,计算机视觉与图像理解,301,容易,"较快,2-4周",https://www.elsevier.com/journals/computer-vision-and-image-understanding/1077-3142,相同,,,,
1063-6560,计算机科学-人工智能,2629,2.388,3,1063-6560,EVOLUTIONARY COMPUTATION,进化计算,23,较易,>12周，或约稿,https://www.mitpressjournals.org/loi/evco,相同,,,,
1432-7643,计算机科学-人工智能,4456,2.367,3,1432-7643,soft computing,软计算,539,容易,"很快,2-3周",https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/500,相同,,,,
1936-4954,计算机科学-人工智能,3184,2.361,3,1936-4954,SIAM JOURNAL ON IMAGING SCIENCES,暹罗影像科学杂志,304,,"较快,2-4周",https://www.siam.org/Publications/Journals/SIAM-Journal-on-Imaging-Sciences-SIIMS,相同,,,,
1532-4435,计算机科学-人工智能,17586,2.281,3,1532-4435,journal of machine learning research,机器学习研究杂志,379,较难,平均2月,http://jmlr.org/,相同,,,,
1758-0366,计算机科学-人工智能,590,2.266,3,1758-0366,International Journal of Bio-Inspired Computation,国际生物启发计算杂志,49,较易,>12周，或约稿,https://www.inderscience.com/jhome.php?jcode=ijbic,相同,,,,
0219-1377,计算机科学-人工智能,2343,2.247,3,0219-1377,knowledge and information systems,知识和信息系统,125,命中率约50%,平均12月,https://www.springer.com/computer/information+systems+and+applications/journal/10115,相同,,,,
0929-5593,计算机科学-人工智能,2537,2.244,3,0929-5593,autonomous robots,自主机器人,90,较易,"较慢,6-12周",https://www.springer.com/engineering/control/journal/10514,相同,,,,
1570-0844,计算机科学-人工智能,522,2.224,3,1570-0844,Semantic Web,语义网,55,较易,"较慢,6-12周",https://www.w3.org/standards/semanticweb/,相同,,,,
0262-8856,计算机科学-人工智能,5280,2.159,3,0262-8856,image and vision computing,图像与视觉计算,337,命中率约20%,平均6月,https://www.journals.elsevier.com/image-and-vision-computing/,相同,,,,
1568-4539,计算机科学-人工智能,826,2.022,3,1568-4539,FUZZY OPTIMIZATION AND DECISION MAKING,模糊优化与决策,25,较易,>12周，或约稿,https://link.springer.com/journal/10700,相同,,,,
1875-6891,计算机科学-人工智能,974,2,3,1875-6891,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,国际计算智能系统杂志,96,命中率约25%,平均24月,http://www.medsci.cn/sci/url.do?id=45ee10301&q=w,相同,,,,
0924-669X,计算机科学-人工智能,1702,1.983,3,0924-669X,applied intelligence,应用智能,137,容易,"偏慢,4-8周",https://www.editorialmanager.com/apin/default.aspx,相同,,,,
2379-8920,计算机科学-人工智能,56,1.952,3,2379-8920,IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,IEEE认知与发展系统汇刊,48,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=543513034&q=w,相同,,,,
0167-8655,计算机科学-人工智能,10799,1.952,3,0167-8655,pattern recognition letters,模式识别字母,257,命中率约37.5%,平均4.5月,https://www.elsevier.com/journals/pattern-recognition-letters/0167-8655,相同,,,,
1942-4787,计算机科学-人工智能,547,1.939,3,1942-4787,WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,威利跨学科回顾-数据挖掘和知识发现,24,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=515b12120&q=w,相同,,,,
0924-9907,计算机科学-人工智能,2049,1.927,3,0924-9907,journal of mathematical imaging and vision,数学成像与视觉杂志,150,较易,"一般,3-8周",https://link.springer.com/journal/10851,相同,,,,
1865-9284,计算机科学-人工智能,310,1.925,3,1865-9284,Memetic Computing,记忆计算,29,命中率约50%,平均3月,https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/12293,相同,,,,
0885-6125,计算机科学-人工智能,13453,1.855,3,0885-6125,machine learning,机器学习,75,较易,"较慢,6-12周",https://link.springer.com/journal/10994,相同,,,,
2047-4938,计算机科学-人工智能,280,1.836,3,2047-4938,IET Biometrics,IET生物特征识别,55,较易,"较慢,6-12周",https://digital-library.theiet.org/content/journals/iet-bmt,相同,,,,
1370-4621,计算机科学-人工智能,1487,1.787,3,1370-4621,neural processing letters,神经处理字母,124,容易,"偏慢,4-8周",https://www.editorialmanager.com/nepl/default.aspx,相同,,,,
0885-2308,计算机科学-人工智能,1211,1.776,3,0885-2308,computer speech and language,计算机语言,92,较易,"较慢,6-12周",https://www.journals.elsevier.com/computer-speech-and-language/,相同,,,,
0888-613X,计算机科学-人工智能,3384,1.766,3,0888-613X,international journal of approximate reasoning,国际近似推理杂志,193,命中率约25%,平均12月,https://www.elsevier.com/journals/international-journal-of-approximate-reasoning/0888-613X,相同,,,,
0219-6220,计算机科学-人工智能,852,1.755,3,0219-6220,international journal of information technology & decision making,国际信息技术与决策杂志,67,较易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijitdm,相同,,,,
1641-876X,计算机科学-人工智能,1120,1.694,4,1641-876X,INTERNATIONAL JOURNAL OF APPLIED MATHEMATICS AND COMPUTER SCIENCE,国际应用数学与计算机科学杂志,240,,"一般,3-6周",https://www.amcs.uz.zgora.pl/,相同,,,,
0899-7667,计算机科学-人工智能,10797,1.651,4,0899-7667,neural computation,神经计算,215,较易,"一般,3-6周",https://www.mitpressjournals.org/loi/neco,相同,,,,
0921-0296,计算机科学-人工智能,2664,1.583,4,0921-0296,journal of intelligent & robotic systems,智能与机器人系统杂志,165,容易,"一般,3-8周",https://www.springer.com/engineering/control/journal/10846,相同,,,,
1861-8200,计算机科学-人工智能,634,1.574,4,1861-8200,JOURNAL OF REAL-TIME IMAGE PROCESSING,实时图像处理杂志,228,,"一般,3-6周",https://www.springer.com/computer/image+processing/journal/11554,相同,,,,
1935-3812,计算机科学-人工智能,568,1.52,4,1935-3812,SWARM INTELLIGENCE,群体智能,26,较易,>12周，或约稿,https://link.springer.com/journal/11721,相同,,,,
0886-9383,计算机科学-人工智能,3171,1.5,4,0886-9383,journal of chemometrics,化学计量学杂志,491,容易,"较快,2-4周",https://onlinelibrary.wiley.com/journal/1099128x,相同,,,,
0169-023X,计算机科学-人工智能,1520,1.467,4,0169-023X,data & knowledge engineering,数据与知识工程,32,命中率约75%,平均12月,https://www.journals.elsevier.com/data-and-knowledge-engineering/,相同,,,,
1389-2576,计算机科学-人工智能,307,1.455,4,1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,遗传规划与进化机器,29,容易,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10710,相同,,,,
0266-4720,计算机科学-人工智能,568,1.43,4,0266-4720,expert systems,专家系统,52,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/14680394,相同,,,,
1064-1246,计算机科学-人工智能,3841,1.426,4,1064-1246,journal of intelligent & fuzzy systems,智能与模糊系统杂志,740,命中率约50%,平均7月,https://content.iospress.com/journals/journal-of-intelligent-and-fuzzy-systems/Preprint/Preprint,相同,,,,
1389-0417,计算机科学-人工智能,508,1.425,4,1389-0417,cognitive systems research,认知系统研究,120,容易,"偏慢,4-8周",https://www.journals.elsevier.com/cognitive-systems-research/,相同,,,,
1868-5137,计算机科学-人工智能,515,1.423,4,1868-5137,Journal of Ambient Intelligence and Humanized Computing,环境智能与人性化计算杂志,156,容易,"一般,3-8周",https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/12652,相同,,,,
1751-9659,计算机科学-人工智能,1000,1.401,4,1751-9659,IET Image Processing,IET图像处理,605,容易,"很快,2-3周",https://digital-library.theiet.org/content/journals/iet-ipr,相同,,,,
0824-7935,计算机科学-人工智能,624,1.352,4,0824-7935,computational intelligence,计算智能,40,容易,>12周，或约稿,https://onlinelibrary.wiley.com/journal/14678640,相同,,,,
1570-8268,计算机科学-人工智能,961,1.348,4,1570-8268,journal of web semantics,网络语义学杂志,23,容易,>12周，或约稿,https://www.journals.elsevier.com/journal-of-web-semantics/,相同,,,,
0168-7433,计算机科学-人工智能,585,1.321,4,0168-7433,journal of automated reasoning,自动推理杂志,35,容易,>12周，或约稿,https://www.springer.com/computer/theoretical+computer+science/journal/10817,相同,,,,
0891-2017,计算机科学-人工智能,1864,1.319,4,0891-2017,computational linguistics,计算语言学,28,容易,>12周，或约稿,http://cljournal.org/,相同,,,,
0932-8092,计算机科学-人工智能,1854,1.306,4,0932-8092,machine vision and applications,机器视觉与应用,132,容易,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/138,相同,,,,
1433-2833,计算机科学-人工智能,506,1.298,4,1433-2833,International Journal on Document Analysis and Recognition,国际文献分析与识别杂志,16,容易,>12周，或约稿,https://www.springer.com/computer/image+processing/journal/10032,相同,,,,
1433-7541,计算机科学-人工智能,869,1.281,4,1433-7541,pattern analysis and applications,模式分析与应用,85,命中率约58.33%,平均7月,https://www.springer.com/computer/image+processing/journal/10044,相同,,,,
1076-9757,计算机科学-人工智能,3157,1.257,4,1076-9757,journal of artificial intelligence research,人工智能研究杂志,68,容易,"较慢,6-12周",https://www.jair.org/index.php/jair,相同,,,,
1556-4665,计算机科学-人工智能,420,1.216,4,1556-4665,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,关于自主和自适应系统的ACM事务,22,容易,>12周，或约稿,https://taas.acm.org/,相同,,,,
1387-2532,计算机科学-人工智能,756,1.176,4,1387-2532,autonomous agents and multi-agent systems,自主代理和多代理系统,147,容易,"偏慢,4-8周",https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10458,相同,,,,
0218-4885,计算机科学-人工智能,1509,1.159,4,0218-4885,international journal of uncertainty fuzziness and knowledge-based systems,国际不确定性、模糊性和知识系统杂志,66,命中率约50%,平均6月,https://www.worldscientific.com/page/ijufks/editorial-board,相同,,,,
1783-7677,计算机科学-人工智能,189,1.14,4,1783-7677,JOURNAL ON MULTIMODAL USER INTERFACES,多模式用户界面杂志,24,容易,>12周，或约稿,https://www.springer.com/computer/hci/journal/12193,相同,,,,
1381-1231,计算机科学-人工智能,1122,1.129,4,1381-1231,journal of heuristics,启发学杂志,20,容易,>12周，或约稿,https://link.springer.com/journal/10732,相同,,,,
0925-9902,计算机科学-人工智能,794,1.107,4,0925-9902,journal of intelligent information systems,智能信息系统杂志,48,容易,>12周，或约稿,https://www.springer.com/computer/database+management+&+information+retrieval/journal/10844,相同,,,,
1751-9632,计算机科学-人工智能,555,1.087,4,1751-9632,IET Computer Vision,IET计算机视觉,162,命中率约50%,平均1月,http://www.medsci.cn/sci/url.do?id=03bd3054&q=w,相同,,,,
0269-8889,计算机科学-人工智能,864,1.07,4,0269-8889,knowledge engineering review,知识工程评审,12,命中率约50%,平均12月,http://www.medsci.cn/sci/url.do?id=fb8a4526&q=w,相同,,,,
0890-0604,计算机科学-人工智能,703,1.045,4,0890-0604,ai edam-artificial intelligence for engineering design analysis and manufacturing,用于工程设计分析和制造的人工智能,74,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=f634255&q=w,相同,,,,
0738-4602,计算机科学-人工智能,1293,1.032,4,0738-4602,ai magazine,人工智能杂志,53,容易,"较慢,6-12周",http://www.aaai.org/Magazine/magazine.php,相同,,,,
0218-0014,计算机科学-人工智能,1202,1.029,4,0218-0014,international journal of pattern recognition and artificial intelligence,国际模式识别与人工智能杂志,144,命中率约75%,平均12月,https://www.worldscientific.com/worldscinet/ijprai,相同,,,,
0952-813X,计算机科学-人工智能,538,1.011,4,0952-813X,journal of experimental & theoretical artificial intelligence,实验与理论人工智能杂志,74,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=3bd03768&q=w,相同,,,,
1059-7123,计算机科学-人工智能,583,1,4,1059-7123,adaptive behavior,适应性行为,20,容易,>12周，或约稿,https://en.wikipedia.org/wiki/Adaptive_behavior,相同,,,,
0954-0091,计算机科学-人工智能,326,0.933,4,0954-0091,connection science,连接科学,35,容易,>12周，或约稿,https://www.tandfonline.com/loi/ccos20,相同,,,,
1012-2443,计算机科学-人工智能,751,0.899,4,1012-2443,annals of mathematics and artificial intelligence,数学与人工智能年鉴,106,容易,"偏慢,4-8周",https://www.editorialmanager.com/amai/default.aspx,相同,,,,
1064-5462,计算机科学-人工智能,721,0.897,4,1064-5462,artificial life,人工生命,28,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/artl,相同,,,,
1943-068X,计算机科学-人工智能,401,0.897,4,1943-068X,IEEE Transactions on Computational Intelligence and AI in Games,计算智能与人工智能在游戏中的应用,34,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=a03f12158&q=w,相同,,,,
1876-1364,计算机科学-人工智能,362,0.878,4,1876-1364,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,环境智能与智能环境杂志,122,容易,"偏慢,4-8周",https://www.iospress.nl/journal/journal-of-ambient-intelligence-and-smart-environments/,相同,,,,
1932-1864,计算机科学-人工智能,336,0.865,4,1932-1864,Statistical Analysis and Data Mining,统计分析与数据挖掘,60,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/19321872,相同,,,,
1567-7818,计算机科学-人工智能,743,0.86,4,1567-7818,NATURAL COMPUTING,自然计算,50,容易,"较慢,6-12周",https://link.springer.com/journal/11047,相同,,,,
0924-6495,计算机科学-人工智能,355,0.842,4,0924-6495,minds and machines,思想和机器,34,容易,>12周，或约稿,https://link.springer.com/journal/11023,相同,,,,
1392-124X,计算机科学-人工智能,229,0.8,4,1392-124X,INFORMATION TECHNOLOGY AND CONTROL,信息技术与控制,113,容易,"偏慢,4-8周",http://itc.ktu.lt/index.php/ITC,相同,,,,
1351-3249,计算机科学-人工智能,345,0.8,4,1351-3249,NATURAL LANGUAGE ENGINEERING,自然语言工程,39,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=29dd11649&q=w,相同,,,,
1552-6283,计算机科学-人工智能,309,0.793,4,1552-6283,International Journal on Semantic Web and Information Systems,国际语义网络与信息系统杂志,34,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=81217495&q=w,相同,,,,
2212-683X,计算机科学-人工智能,130,0.787,4,2212-683X,Biologically Inspired Cognitive Architectures,生物启发的认知架构,47,容易,>12周，或约稿,https://www.journals.elsevier.com/biologically-inspired-cognitive-architectures,相同,,,,
1570-5838,计算机科学-人工智能,165,0.774,4,1570-5838,APPLIED ONTOLOGY,应用本体论,17,容易,>12周，或约稿,https://www.iospress.nl/journal/applied-ontology/,相同,,,,
0954-898X,计算机科学-人工智能,772,0.706,4,0954-898X,network-computation in neural systems,神经系统中的网络计算,18,容易,>12周，或约稿,https://www.tandfonline.com/toc/inet20/current,相同,,,,
1582-7445,计算机科学-人工智能,358,0.699,4,1582-7445,ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,电气与计算机工程进展,62,容易,"较慢,6-12周",http://www.aece.ro/,相同,,,,
1088-467X,计算机科学-人工智能,772,0.691,4,1088-467X,Intelligent Data Analysis,智能数据分析,91,容易,"较慢,6-12周",https://www.iospress.nl/journal/intelligent-data-analysis/,相同,,,,
1383-7133,计算机科学-人工智能,262,0.66,4,1383-7133,constraints,约束条件,23,容易,>12周，或约稿,https://link.springer.com/journal/10601,相同,,,,
1079-8587,计算机科学-人工智能,363,0.652,4,1079-8587,intelligent automation and soft computing,智能自动化与软计算,200,容易,"一般,3-6周",https://www.tandfonline.com/toc/tasj20/current,相同,,,,
0127-9084,计算机科学-人工智能,102,0.65,4,0127-9084,MALAYSIAN JOURNAL OF COMPUTER SCIENCE,马来西亚计算机科学杂志,20,容易,>12周，或约稿,http://ejum.fsktm.um.edu.my/VolumeListing.aspx?JournalID=4,相同,,,,
0883-9514,计算机科学-人工智能,618,0.587,4,0883-9514,applied artificial intelligence,应用人工智能,29,命中率约25%,平均6月,http://www.medsci.cn/sci/url.do?id=31c8569&q=w,相同,,,,
1300-0632,计算机科学-人工智能,927,0.58,4,1300-0632,TURKISH JOURNAL OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES,土耳其电气工程与计算机科学杂志,389,容易,"较快,2-4周",http://journals.tubitak.gov.tr/elektrik/index.htm,相同,,,,
0218-2130,计算机科学-人工智能,411,0.565,4,0218-2130,international journal on artificial intelligence tools,国际人工智能工具杂志,56,容易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijait,相同,,,,
1064-2307,计算机科学-人工智能,460,0.554,4,1064-2307,journal of computer and systems sciences international,国际计算机与系统科学杂志,81,容易,"较慢,6-12周",https://www.springer.com/engineering/control/journal/11488,相同,,,,
0925-8531,计算机科学-人工智能,246,0.536,4,0925-8531,Journal of Logic Language and Information,逻辑语言与信息杂志,42,容易,>12周，或约稿,https://www.springer.com/philosophy/logic+and+philosophy+of+language/journal/10849,相同,,,,
1210-0552,计算机科学-人工智能,264,0.5,4,1210-0552,neural network world,神经网络世界,34,容易,>12周，或约稿,http://www.nnw.cz/,相同,,,,
1683-3198,计算机科学-人工智能,524,0.466,4,1683-3198,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,国际阿拉伯信息技术杂志,175,容易,"一般,3-8周",http://iajit.org/,相同,,,,
0921-7126,计算机科学-人工智能,399,0.461,4,0921-7126,ai communications,人工智能通信,26,容易,>12周，或约稿,https://www.iospress.nl/journal/ai-communications/,相同,,,,
1542-3980,计算机科学-人工智能,380,0.437,4,1542-3980,journal of multiple-valued logic and soft computing,多值逻辑与软计算杂志,195,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=00e94082&q=w,相同,,,,
1335-9150,计算机科学-人工智能,367,0.41,4,1335-9150,computing and informatics,计算与信息学,52,容易,"较慢,6-12周",http://www.cai.sk/,相同,,,,
0218-1940,计算机科学-人工智能,360,0.397,4,0218-1940,international journal of software engineering and knowledge engineering,国际软件工程与知识工程杂志,132,容易,"偏慢,4-8周",https://www.worldscientific.com/worldscinet/ijseke,相同,,,,
2375-4699,计算机科学-人工智能,23,0.339,4,2375-4699,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,亚洲和低资源语言信息处理的ACM事务,23,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=d09e13050&q=w,相同,,,,
0765-0019,计算机科学-人工智能,51,0.057,4,0765-0019,TRAITEMENT DU SIGNAL,训练du信号,15,容易,>12周，或约稿,https://link.springer.com/chapter/10.1007/978-3-642-54616-7_12,相同,,,,
2168-2267,计算机科学，控制论,9424,8.803,1,2168-2267,IEEE TRANSACTIONS ON CYBERNETICS,IEEE控制论汇刊,1077,较难,"超快,1-2周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER169-PRT,相同,,,,
